Cluster,Company,Lead Investors Include,Country
0,Otrium,"Bond, Index Ventures",The Netherlands
0,Googut Wine & Spirits,Everbright,China
0,Insilico Medicine,Prosperity7 Ventures,Hong Kong
0,Exeger,Ilija Batljan,Sweden
0,Oasis Market,Home & Shopping,South Korea
3,Mews,"Goldman Sachs, Kinnevik",United Kingdom
0,Npixel,Saehan Startup Investment,South Korea
0,Koenigsegg Automotibe,National Electric Vehicle Sweden (NEVS),Sweden
0,FromSoftware,"Tencent, Sony",Japan
0,TNG FinTech Group,"Chelsea Vanguard Fund, Regal Planet Holdings Limited",Hong Kong
0,Mech-Mind,"IDG Capital, Meituan",China
2,Tally,Sway Ventures,United States
3,Curve,"Fuel Venture Capital, IDC Ventures",United Kingdom
1,BookMyShow,Capital18,India
0,Tiki,Shinhan Financial Group,Vietnam
2,CloudTrucks,"Menlo Ventures, Tiger Global Management",United States
2,Campaign Monitor,Insight Partners,United States
0,Pigment,ICONIQ Growth,France
3,GWI,Permira,United Kingdom
2,TIFIN,Motive Partners,United States
1,ki Mobility Solutions,Castrol India,India
2,Petal,Trinity Capital,United States
0,Greenlabs,BRV Capital Management,South Korea
2,8 Rivers,SK Materials,United States
0,Wallapop,"Korelya Capital, Naver",Spain
0,Ule,Access Industries,China
0,Ruangguru,Tiger Global Management,Indonesia
2,ShipMonk,Periphas Capital,United States
2,Superhuman,IVP,United States
3,Codat,J.P. Morgan Growth Equity Partners,United Kingdom
1,Rapido,Swiggy,India
0,FADU,"Forest Partners, IBK Capital",South Korea
1,Ninjacart,STIC Investment,India
0,NHN Cloud,IMM Investment,South Korea
0,Huisheng Biopharmaceutical,Baixing Bairong,China
0,Rong360,"Sailing Capital, YF Capital",China
2,Mynd,Invesco,United States
2,Class Technologies,SoftBank Vision Fund,United States
2,JOKR,Convivialite Ventures,United States
2,Alto Pharmacy,SoftBank Vision Fund,United States
2,QuickNode,LG Technology Ventures,United States
2,Menlo Security,Vista Equity Partners,United States
2,AtoB,"Elad Gil, General Catalyst",United States
2,LeafLink,"CPMG, L2 Ventures",United States
2,Flipboard,JP Morgan Chase,United States
2,Connecteam,"Insight Partners, Stripes",United States
3,Flo Health,"Target Global, VNV Global",United Kingdom
2,Delos,Greybrook Realty Partners,United States
2,Lovevery,TCG,United States
0,Juni,Mubadala Capital Ventures,Sweden
